"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Brunswick, GA","15260",2024,366,286,80,0,0,0,0,84,56,39,0,0,125,241,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2024,366,233,132,1,0,0,0,105,62,44,0,5,168,192,1
"Burlington-South Burlington, VT","15540",2024,366,323,43,0,0,0,0,84,51,37,0,0,271,95,0
"Butte-Silver Bow, MT","15580",2024,366,258,103,3,2,0,0,168,66,31,0,0,0,344,22
"Cadillac, MI","15620",2024,366,326,40,0,0,0,0,84,52,36,0,0,319,47,0
"Cambridge, MD","15700",2024,366,294,71,1,0,0,0,108,57,40,0,0,284,82,0
"Canton-Massillon, OH","15940",2024,366,192,174,0,0,0,0,93,67,48,0,0,116,250,0
"Cape Coral-Fort Myers, FL","15980",2024,340,313,27,0,0,0,0,80,49,37,0,0,337,3,0
"Carlsbad-Artesia, NM","16100",2024,366,188,142,33,3,0,0,179,100,49,0,0,356,10,0
"Carson City, NV","16180",2024,366,270,95,1,0,0,0,105,61,45,0,0,293,73,0
"Casper, WY","16220",2024,366,282,78,6,0,0,0,136,67,43,0,3,345,18,0
"Ca¤on City, CO","15860",2024,362,354,8,0,0,0,0,59,29,13,0,0,0,0,362
"Cedar City, UT","16260",2024,365,303,62,0,0,0,0,100,55,43,0,4,321,40,0
"Cedar Rapids, IA","16300",2024,366,235,131,0,0,0,0,79,60,44,0,0,128,238,0
"Centralia, WA","16500",2024,360,336,23,1,0,0,0,129,43,22,0,0,0,360,0
"Chambersburg-Waynesboro, PA","16540",2024,327,305,22,0,0,0,0,90,49,35,0,0,327,0,0
"Champaign-Urbana, IL","16580",2024,366,250,116,0,0,0,0,100,60,44,0,0,194,172,0
"Charleston, WV","16620",2024,364,283,81,0,0,0,0,90,57,40,3,0,173,188,0
