"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Macon, GA","31420",2024,366,179,185,2,0,0,0,123,65,51,0,0,47,319,0
"Madera, CA","31460",2024,366,163,178,25,0,0,0,140,96,52,0,0,215,112,39
"Madison, WI","31540",2024,366,262,104,0,0,0,0,93,59,42,0,0,148,209,9
"Manchester-Nashua, NH","31700",2024,366,328,38,0,0,0,0,97,51,37,0,0,324,42,0
"Manitowoc, WI","31820",2024,204,172,26,6,0,0,0,129,64,39,0,0,204,0,0
"Mankato-North Mankato, MN","31860",2024,146,90,56,0,0,0,0,80,60,45,0,0,33,113,0
"Marietta, OH","31930",2024,244,212,32,0,0,0,0,90,54,41,0,0,244,0,0
"Marquette, MI","32100",2024,224,202,22,0,0,0,0,67,48,19,0,0,0,224,0
"Marshall, MN","32140",2024,366,276,88,2,0,0,0,142,60,40,0,0,139,197,30
"Marshall, TX","32220",2024,365,233,129,0,1,2,0,263,61,44,0,1,112,252,0
"Mayaguez, PR","32420",2024,341,341,0,0,0,0,0,39,26,11,0,0,226,115,0
"McAlester, OK","32540",2024,362,198,162,2,0,0,0,105,65,48,0,0,126,236,0
"McAllen-Edinburg-Mission, TX","32580",2024,366,150,192,19,5,0,0,157,87,54,0,0,20,339,7
"Medford, OR","32780",2024,366,262,99,4,1,0,0,155,71,41,0,0,111,255,0
"Memphis, TN-MS-AR","32820",2024,366,118,237,8,3,0,0,159,80,56,0,0,104,262,0
"Merced, CA","32900",2024,366,168,163,34,1,0,0,151,100,52,0,0,237,110,19
"Meridian, MS","32940",2024,243,242,1,0,0,0,0,51,45,36,0,0,243,0,0
"Miami, OK","33060",2024,366,181,184,0,0,1,0,288,70,51,0,0,72,274,20
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2024,366,164,198,1,3,0,0,197,64,51,0,13,88,264,1
"Michigan City-La Porte, IN","33140",2024,366,257,107,2,0,0,0,115,64,41,0,0,250,116,0
"Middlesborough, KY","33180",2024,365,244,121,0,0,0,0,88,60,44,0,0,122,243,0
"Milwaukee-Waukesha-West Allis, WI","33340",2024,366,236,119,9,2,0,0,161,69,45,0,10,159,191,6
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2024,366,208,152,4,2,0,0,166,68,47,0,0,150,206,10
"Minot, ND","33500",2024,366,298,59,7,2,0,0,152,59,37,0,0,216,150,0
"Missoula, MT","33540",2024,366,237,125,3,1,0,0,153,68,43,0,0,156,210,0
"Mobile, AL","33660",2024,365,242,123,0,0,0,0,80,58,45,0,0,92,271,2
"Modesto, CA","33700",2024,366,166,162,38,0,0,0,150,101,53,0,0,214,136,16
"Monroe, LA","33740",2024,366,292,74,0,0,0,0,97,57,41,0,0,236,130,0
"Monroe, MI","33780",2024,59,56,3,0,0,0,0,77,41,18,0,0,0,0,59
"Montgomery, AL","33860",2024,358,247,110,1,0,0,0,102,57,42,0,0,106,251,1
"Morehead City, NC","33980",2024,364,357,7,0,0,0,0,71,45,35,0,0,364,0,0
"Morgantown, WV","34060",2024,267,211,56,0,0,0,0,93,56,43,0,0,201,66,0
"Morristown, TN","34100",2024,244,222,21,1,0,0,0,105,50,40,0,0,244,0,0
"Moscow, ID","34140",2024,366,297,68,1,0,0,0,117,58,27,0,0,0,366,0
"Moses Lake, WA","34180",2024,366,318,48,0,0,0,0,84,53,26,0,0,0,366,0
"Mount Vernon, IL","34500",2024,366,236,129,1,0,0,0,112,60,44,0,0,115,251,0
"Mount Vernon, OH","34540",2024,245,208,36,1,0,0,0,101,54,41,0,0,245,0,0
"Mount Vernon-Anacortes, WA","34580",2024,366,357,9,0,0,0,0,59,41,26,0,0,80,286,0
"Muncie, IN","34620",2024,366,240,126,0,0,0,0,97,61,44,0,0,180,186,0
"Muscatine, IA","34700",2024,366,269,97,0,0,0,0,78,56,38,0,0,0,366,0
"Muskegon, MI","34740",2024,243,203,36,4,0,0,0,122,58,38,0,0,243,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2024,364,287,77,0,0,0,0,87,55,40,0,0,159,205,0
"Naples-Immokalee-Marco Island, FL","34940",2024,366,279,87,0,0,0,0,87,55,42,0,0,112,254,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2024,366,172,187,7,0,0,0,133,64,51,0,3,120,243,0
"New Castle, IN","35220",2024,361,282,79,0,0,0,0,75,55,34,0,0,0,361,0
"New Castle, PA","35260",2024,31,31,0,0,0,0,0,31,29,24,0,0,31,0,0
"New Haven-Milford, CT","35300",2024,366,260,94,11,1,0,0,156,62,41,0,22,206,138,0
"New Orleans-Metairie, LA","35380",2024,366,199,161,5,1,0,0,188,69,48,0,3,163,199,1
"New York-Newark-Jersey City, NY-NJ-PA","35620",2024,366,164,178,21,3,0,0,156,93,52,0,18,155,193,0
"Niles-Benton Harbor, MI","35660",2024,241,200,40,1,0,0,0,101,58,41,0,0,241,0,0
"Nogales, AZ","35700",2024,361,213,139,8,0,0,1,494,72,43,0,0,0,281,80
"North Port-Sarasota-Bradenton, FL","35840",2024,361,241,119,1,0,0,0,115,61,44,0,0,152,209,0
"Norwich-New London, CT","35980",2024,365,309,51,5,0,0,0,126,55,37,0,0,174,191,0
"Ocala, FL","36100",2024,360,189,170,1,0,0,0,101,60,49,0,0,84,276,0
"Odessa, TX","36220",2024,356,280,76,0,0,0,0,88,56,36,0,0,0,356,0
"Ogden-Clearfield, UT","36260",2024,366,191,156,19,0,0,0,133,87,50,0,8,280,75,3
"Oklahoma City, OK","36420",2024,366,149,200,17,0,0,0,147,84,53,0,5,185,173,3
"Olympia-Tumwater, WA","36500",2024,362,338,24,0,0,0,0,85,44,26,0,0,141,221,0
"Omaha-Council Bluffs, NE-IA","36540",2024,366,187,177,2,0,0,0,110,66,50,0,0,154,203,9
"Orlando-Kissimmee-Sanford, FL","36740",2024,360,248,109,3,0,0,0,149,61,44,0,0,194,166,0
"Othello, WA","36830",2024,351,328,23,0,0,0,0,71,41,18,0,0,0,351,0
"Owensboro, KY","36980",2024,269,231,38,0,0,0,0,100,51,43,0,0,229,40,0
"Oxford, NC","37080",2024,244,206,37,1,0,0,0,101,61,42,0,0,244,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2024,366,191,160,14,1,0,0,176,84,50,0,0,247,116,3
"Paducah, KY-IL","37140",2024,366,271,94,1,0,0,0,101,57,43,0,8,153,205,0
"Pahrump, NV","37220",2024,366,319,44,2,0,1,0,247,52,31,0,0,0,0,366
"Palatka, FL","37260",2024,362,329,31,2,0,0,0,112,49,25,0,0,0,0,362
"Palm Bay-Melbourne-Titusville, FL","37340",2024,366,311,55,0,0,0,0,74,53,40,0,0,281,85,0
"Panama City, FL","37460",2024,356,214,141,0,0,1,0,215,60,47,0,0,89,267,0
"Parkersburg-Vienna, WV","37620",2024,280,219,60,1,0,0,0,101,58,43,0,0,207,73,0
"Payson, AZ","37740",2024,366,193,144,27,2,0,0,159,97,50,0,0,341,1,24
"Pensacola-Ferry Pass-Brent, FL","37860",2024,366,219,147,0,0,0,0,84,62,46,0,0,129,237,0
"Peoria, IL","37900",2024,344,236,108,0,0,0,0,100,60,44,0,0,163,181,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2024,366,139,212,15,0,0,0,150,84,53,0,8,128,230,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2024,366,25,227,102,9,2,1,337,122,86,0,0,158,83,125
"Pierre, SD","38180",2024,363,340,23,0,0,0,0,69,34,8,0,0,0,363,0
"Pittsburgh, PA","38300",2024,366,164,192,10,0,0,0,129,80,53,0,0,173,193,0
"Pittsfield, MA","38340",2024,366,300,66,0,0,0,0,97,56,38,0,2,242,122,0
"Platteville, WI","38420",2024,366,263,103,0,0,0,0,82,57,36,0,0,0,366,0
"Pocatello, ID","38540",2024,366,286,78,2,0,0,0,104,59,39,0,0,126,185,55
"Ponca City, OK","38620",2024,356,223,128,4,1,0,0,193,61,42,0,0,0,356,0
"Ponce, PR","38660",2024,336,317,19,0,0,0,0,82,38,3,223,0,0,101,12
"Port Angeles, WA","38820",2024,366,321,45,0,0,0,0,69,52,36,0,0,197,169,0
"Port St. Lucie, FL","38940",2024,365,315,50,0,0,0,0,71,53,40,0,0,239,126,0
"Portland-South Portland, ME","38860",2024,366,289,76,1,0,0,0,129,58,39,0,1,243,118,4
"Portland-Vancouver-Hillsboro, OR-WA","38900",2024,366,280,80,6,0,0,0,127,61,38,0,2,215,149,0
"Portsmouth, OH","39020",2024,366,248,118,0,0,0,0,80,60,40,0,0,0,341,25
"Prescott, AZ","39140",2024,366,225,139,2,0,0,0,115,80,47,0,0,365,1,0
"Price, UT","39220",2024,366,278,87,1,0,0,0,112,64,44,0,0,353,13,0
"Prineville, OR","39260",2024,366,282,76,5,3,0,0,173,64,24,0,0,0,366,0
"Providence-Warwick, RI-MA","39300",2024,366,279,84,3,0,0,0,147,60,42,0,3,217,146,0
"Provo-Orem, UT","39340",2024,366,210,147,8,1,0,0,151,77,47,0,2,257,107,0
"Pueblo, CO","39380",2024,366,249,109,8,0,0,0,143,74,44,0,0,312,47,7
"Pullman, WA","39420",2024,366,310,56,0,0,0,0,97,54,20,0,0,0,366,0
"Quincy, IL-MO","39500",2024,233,210,23,0,0,0,0,97,50,42,0,0,233,0,0
"Racine, WI","39540",2024,205,156,38,10,1,0,0,151,80,42,0,0,205,0,0
"Raleigh, NC","39580",2024,366,212,153,1,0,0,0,112,61,47,0,0,140,226,0
"Rapid City, SD","39660",2024,366,186,167,12,1,0,0,154,83,50,0,0,247,49,70
"Reading, PA","39740",2024,366,254,110,2,0,0,0,105,62,43,0,0,218,148,0
"Red Bluff, CA","39780",2024,366,252,112,2,0,0,0,109,71,43,0,0,280,85,1
"Red Wing, MN","39860",2024,248,232,16,0,0,0,0,67,48,38,0,0,248,0,0
"Redding, CA","39820",2024,366,268,94,3,0,1,0,232,69,44,0,0,290,76,0
"Reno, NV","39900",2024,366,188,174,4,0,0,0,119,77,50,0,2,281,83,0
"Richmond, VA","40060",2024,366,253,112,1,0,0,0,112,58,44,0,13,167,182,4
"Riverside-San Bernardino-Ontario, CA","40140",2024,366,26,176,66,71,26,1,593,185,97,0,2,205,123,36
"Riverton, WY","40180",2024,366,210,151,5,0,0,0,139,74,49,0,0,281,85,0
"Roanoke Rapids, NC","40260",2024,366,289,77,0,0,0,0,82,55,32,0,15,0,351,0
"Roanoke, VA","40220",2024,366,299,67,0,0,0,0,68,54,40,0,7,164,195,0
"Rochester, MN","40340",2024,366,234,131,0,1,0,0,155,61,44,0,0,122,244,0
"Rochester, NY","40380",2024,366,268,98,0,0,0,0,90,57,39,0,1,177,188,0
"Rock Springs, WY","40540",2024,366,247,109,10,0,0,0,137,75,45,0,3,308,9,46
"Rockford, IL","40420",2024,361,249,109,3,0,0,0,119,59,43,0,0,157,204,0
"Rockland, ME","40500",2024,355,343,12,0,0,0,0,84,43,33,0,0,355,0,0
"Rocky Mount, NC","40580",2024,354,302,52,0,0,0,0,80,53,37,0,0,158,196,0
"Rome, GA","40660",2024,361,256,105,0,0,0,0,89,59,38,0,0,0,361,0
"Roswell, NM","40740",2024,114,104,10,0,0,0,0,88,47,27,0,0,0,114,0
"Ruidoso, NM","40760",2024,117,114,3,0,0,0,0,84,31,16,0,0,0,117,0
"Rutland, VT","40860",2024,366,291,75,0,0,0,0,86,56,37,0,0,194,172,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2024,366,125,206,35,0,0,0,140,100,55,0,0,221,145,0
"Salem, OH","41400",2024,63,63,0,0,0,0,0,34,19,12,0,0,0,0,63
"Salem, OR","41420",2024,366,298,64,4,0,0,0,129,56,35,0,0,137,229,0
"Salinas, CA","41500",2024,366,292,74,0,0,0,0,71,55,39,0,0,185,163,18
"Salisbury, MD-DE","41540",2024,365,298,67,0,0,0,0,90,55,40,0,0,259,106,0
"Salt Lake City, UT","41620",2024,366,144,178,39,4,1,0,230,103,56,0,9,243,111,3
"San Antonio-New Braunfels, TX","41700",2024,366,161,183,20,2,0,0,199,87,53,0,3,130,230,3
"San Diego-Carlsbad, CA","41740",2024,366,47,267,48,4,0,0,161,105,71,0,0,202,151,13
"San Francisco-Oakland-Hayward, CA","41860",2024,366,149,216,1,0,0,0,105,65,53,0,0,8,358,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2024,366,183,181,2,0,0,0,111,67,51,0,1,136,229,0
"San Juan-Carolina-Caguas, PR","41980",2024,366,185,138,31,12,0,0,174,111,49,8,0,9,330,19
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2024,366,193,163,10,0,0,0,122,80,49,0,0,262,102,2
"Sandpoint, ID","41760",2024,365,272,89,4,0,0,0,125,60,32,0,0,0,338,27
"Santa Cruz-Watsonville, CA","42100",2024,366,293,73,0,0,0,0,80,54,39,0,0,117,249,0
"Santa Fe, NM","42140",2024,363,259,103,1,0,0,0,101,71,45,0,0,355,8,0
"Santa Maria-Santa Barbara, CA","42200",2024,366,193,171,2,0,0,0,146,60,49,0,0,162,198,6
"Santa Rosa, CA","42220",2024,366,348,18,0,0,0,0,72,41,19,1,0,44,197,124
"Savannah, GA","42340",2024,365,232,132,1,0,0,0,130,58,44,0,0,76,289,0
"Sayre, PA","42380",2024,363,298,65,0,0,0,0,75,54,37,0,0,206,157,0
"Scottsbluff, NE","42420",2024,348,257,83,8,0,0,0,143,67,44,0,0,285,63,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2024,366,263,103,0,0,0,0,97,58,40,0,9,197,160,0
"Seattle-Tacoma-Bellevue, WA","42660",2024,366,211,151,3,1,0,0,166,65,47,0,1,142,223,0
"Sebastian-Vero Beach, FL","42680",2024,348,344,4,0,0,0,0,64,44,35,0,0,348,0,0
"Sebring, FL","42700",2024,363,333,30,0,0,0,0,77,50,35,0,0,363,0,0
"Sevierville, TN","42940",2024,362,289,73,0,0,0,0,93,61,44,0,0,362,0,0
"Sheboygan, WI","43100",2024,205,166,30,7,2,0,0,166,74,40,0,0,205,0,0
"Shelton, WA","43220",2024,366,341,25,0,0,0,0,73,43,21,0,0,0,366,0
"Sheridan, WY","43260",2024,366,281,69,9,6,1,0,205,67,44,0,0,257,106,3
"Show Low, AZ","43320",2024,361,359,2,0,0,0,0,53,22,13,0,0,0,78,283
"Shreveport-Bossier City, LA","43340",2024,366,183,179,4,0,0,0,111,66,51,0,0,134,230,2
"Sierra Vista-Douglas, AZ","43420",2024,366,225,128,11,1,0,1,307,80,48,0,0,325,0,41
"Sioux City, IA-NE-SD","43580",2024,284,224,60,0,0,0,0,93,58,43,0,0,210,74,0
"Sioux Falls, SD","43620",2024,365,297,66,2,0,0,0,145,57,34,0,15,208,127,15
"Somerset, KY","43700",2024,366,292,74,0,0,0,0,68,54,41,0,0,148,218,0
"Somerset, PA","43740",2024,358,323,35,0,0,0,0,90,50,37,0,0,358,0,0
"Sonora, CA","43760",2024,354,286,64,4,0,0,0,115,67,40,0,0,354,0,0
"South Bend-Mishawaka, IN-MI","43780",2024,366,237,127,2,0,0,0,119,64,45,0,0,202,164,0
"Spartanburg, SC","43900",2024,363,188,171,4,0,0,0,112,71,49,0,0,138,225,0
"Spokane-Spokane Valley, WA","44060",2024,366,232,133,1,0,0,0,106,67,44,0,0,114,229,23
"Springfield, IL","44100",2024,366,263,102,1,0,0,0,105,58,41,0,0,145,221,0
"Springfield, MA","44140",2024,366,286,77,3,0,0,0,119,58,38,0,5,250,111,0
"Springfield, MO","44180",2024,360,227,133,0,0,0,0,90,60,45,0,0,148,212,0
"Springfield, OH","44220",2024,363,239,121,3,0,0,0,133,63,45,0,0,144,219,0
"St. Cloud, MN","41060",2024,366,282,84,0,0,0,0,97,58,39,0,0,154,212,0
"St. George, UT","41100",2024,366,278,86,2,0,0,0,108,67,44,0,0,359,7,0
"St. Joseph, MO-KS","41140",2024,359,202,157,0,0,0,0,100,61,48,0,0,117,218,24
"St. Louis, MO-IL","41180",2024,366,117,233,13,3,0,0,165,85,55,0,3,103,226,34
"St. Marys, PA","41260",2024,358,343,15,0,0,0,0,67,46,34,0,0,358,0,0
"State College, PA","44300",2024,366,287,79,0,0,0,0,97,58,40,0,1,270,95,0
"Steamboat Springs, CO","44460",2024,365,364,1,0,0,0,0,53,25,12,0,0,0,0,365
"Stockton-Lodi, CA","44700",2024,366,178,177,11,0,0,0,140,79,51,0,0,142,215,9
"Summerville, GA","44900",2024,240,231,9,0,0,0,0,77,48,39,0,0,240,0,0
"Syracuse, NY","45060",2024,366,318,48,0,0,0,0,84,53,36,0,0,266,100,0
"Tallahassee, FL","45220",2024,361,216,144,1,0,0,0,139,60,47,0,0,73,288,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2024,362,167,190,5,0,0,0,143,67,51,0,0,110,250,2
"Taos, NM","45340",2024,365,354,11,0,0,0,0,76,35,16,0,0,0,365,0
"Terre Haute, IN","45460",2024,366,204,161,1,0,0,0,112,64,47,0,0,137,229,0
"Texarkana, TX-AR","45500",2024,360,189,171,0,0,0,0,97,62,49,0,0,0,360,0
"The Dalles, OR","45520",2024,364,317,47,0,0,0,0,93,52,23,0,0,0,364,0
"Toledo, OH","45780",2024,366,155,207,4,0,0,0,119,74,53,0,0,135,231,0
"Topeka, KS","45820",2024,366,246,119,1,0,0,0,125,61,45,0,0,188,173,5
"Torrington, CT","45860",2024,362,305,49,8,0,0,0,119,58,38,4,0,314,44,0
"Traverse City, MI","45900",2024,245,216,27,2,0,0,0,101,51,38,0,0,245,0,0
"Trenton, NJ","45940",2024,366,246,115,5,0,0,0,133,71,43,0,0,210,156,0
"Truckee-Grass Valley, CA","46020",2024,365,313,50,2,0,0,0,132,55,36,0,0,134,231,0
"Tucson, AZ","46060",2024,366,113,241,10,2,0,0,171,87,56,0,0,217,107,42
"Tulsa, OK","46140",2024,366,169,184,12,1,0,0,179,80,51,0,0,202,160,4
"Tupelo, MS","46180",2024,243,216,27,0,0,0,0,87,51,41,0,0,243,0,0
"Tuscaloosa, AL","46220",2024,359,318,39,2,0,0,0,125,53,37,0,0,173,186,0
"Twin Falls, ID","46300",2024,347,264,76,4,3,0,0,158,64,23,0,0,0,347,0
"Tyler, TX","46340",2024,363,314,48,1,0,0,0,105,61,39,0,3,360,0,0
"Ukiah, CA","46380",2024,366,244,122,0,0,0,0,83,57,43,0,0,99,265,2
"Urban Honolulu, HI","46520",2024,366,360,6,0,0,0,0,85,41,31,0,0,206,160,0
"Utica-Rome, NY","46540",2024,349,300,49,0,0,0,0,68,53,27,0,0,0,349,0
"Valdosta, GA","46660",2024,342,212,128,1,1,0,0,154,62,44,0,0,0,342,0
"Vallejo-Fairfield, CA","46700",2024,365,343,22,0,0,0,0,80,46,36,0,2,340,22,1
"Vermillion, SD","46820",2024,366,289,75,2,0,0,0,137,57,39,0,0,187,179,0
"Vernal, UT","46860",2024,366,218,141,7,0,0,0,133,77,48,0,0,337,29,0
"Victoria, TX","47020",2024,355,324,29,2,0,0,0,105,49,35,0,0,355,0,0
"Vincennes, IN","47180",2024,360,314,46,0,0,0,0,90,54,38,0,0,360,0,0
"Vineland-Bridgeton, NJ","47220",2024,359,290,68,1,0,0,0,112,56,39,0,3,268,88,0
"Vineyard Haven, MA","47240",2024,357,331,25,1,0,0,0,108,47,37,0,0,341,16,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2024,366,268,98,0,0,0,0,90,57,41,0,11,149,206,0
"Visalia-Porterville, CA","47300",2024,366,76,179,83,28,0,0,185,147,71,0,0,213,144,9
"Wabash, IN","47340",2024,365,324,41,0,0,0,0,84,51,36,0,0,365,0,0
"Waco, TX","47380",2024,365,126,234,5,0,0,0,133,73,53,5,0,87,273,0
"Walla Walla, WA","47460",2024,366,307,59,0,0,0,0,90,59,38,0,0,247,94,25
"Warner Robins, GA","47580",2024,362,247,114,1,0,0,0,105,60,43,0,0,0,362,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2024,366,199,159,8,0,0,0,133,75,49,0,15,192,159,0
"Waterloo-Cedar Falls, IA","47940",2024,365,201,164,0,0,0,0,87,60,48,0,0,103,262,0
"Watertown, SD","47980",2024,361,269,91,1,0,0,0,102,58,37,0,0,82,256,23
"Watertown-Fort Atkinson, WI","48020",2024,205,183,22,0,0,0,0,93,51,39,0,0,205,0,0
"Watertown-Fort Drum, NY","48060",2024,363,352,11,0,0,0,0,80,44,32,0,0,363,0,0
"Wausau, WI","48140",2024,366,311,54,0,1,0,0,151,53,37,0,0,166,200,0
"Weirton-Steubenville, WV-OH","48260",2024,366,220,146,0,0,0,0,97,64,46,0,0,162,204,0
"Wenatchee, WA","48300",2024,366,293,68,4,1,0,0,158,62,28,0,0,0,366,0
"Wheeling, WV-OH","48540",2024,366,243,123,0,0,0,0,84,61,45,0,2,120,231,13
"Whitewater-Elkhorn, WI","48580",2024,206,169,37,0,0,0,0,100,61,42,0,0,206,0,0
"Wichita, KS","48620",2024,366,208,153,4,1,0,0,196,67,47,0,1,195,149,21
"Williamsport, PA","48700",2024,366,281,84,1,0,0,0,122,61,39,0,0,238,128,0
"Wilmington, NC","48900",2024,363,293,70,0,0,0,0,97,55,39,0,0,131,232,0
"Wilmington, OH","48940",2024,240,176,60,4,0,0,0,112,67,44,0,0,240,0,0
"Winchester, VA-WV","49020",2024,355,264,90,1,0,0,0,102,57,41,0,0,138,217,0
"Winona, MN","49100",2024,122,114,8,0,0,0,0,63,41,20,0,0,0,122,0
"Winston-Salem, NC","49180",2024,366,189,173,4,0,0,0,122,68,50,0,3,143,220,0
"Worcester, MA-CT","49340",2024,366,317,47,2,0,0,0,122,54,37,0,9,279,76,2
"Yakima, WA","49420",2024,366,248,111,6,1,0,0,153,63,37,0,0,0,364,2
"York-Hanover, PA","49620",2024,366,240,125,1,0,0,0,101,67,44,0,3,219,144,0
"Youngstown-Warren-Boardman, OH-PA","49660",2024,366,219,147,0,0,0,0,97,65,46,0,0,185,181,0
"Yuba City, CA","49700",2024,366,195,166,5,0,0,0,115,80,49,0,0,220,146,0
"Yuma, AZ","49740",2024,365,212,149,3,1,0,0,179,74,47,0,0,216,58,91
