CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,city,population,violent_crime,property_crime,murder,rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,arson,violent_crime_rate,property_crime_rate
"Wilmington, NC",48900,2024,363,293,70,0,0,0,0,97,55,39,0,0,131,232,0,wilmington,71958.0,811.0,2273.0,25.0,5.0,183.0,598.0,350.0,1440.0,483.0,2.0,1127.0463325828955,3158.7870702354153
"Winchester, VA-WV",49020,2024,355,264,90,1,0,0,0,102,57,41,0,0,138,217,0,winchester,10247.0,7.0,87.0,0.0,2.0,5.0,0.0,5.0,72.0,10.0,1.0,68.31267688103836,849.0289840929051
"Winona, MN",49100,2024,122,114,8,0,0,0,0,63,41,20,0,0,0,122,0,winona,26045.0,49.0,598.0,0.0,15.0,1.0,33.0,54.0,519.0,25.0,0.0,188.13591860241888,2296.0261086580917
"Winston-Salem, NC",49180,2024,366,189,173,4,0,0,0,122,68,50,0,3,143,220,0,winston,5692.0,5.0,108.0,0.0,3.0,0.0,2.0,13.0,89.0,6.0,0.0,87.84258608573435,1897.3998594518623
"Worcester, MA-CT",49340,2024,366,317,47,2,0,0,0,122,54,37,0,9,279,76,2,worcester,212425.0,35.0,0.0,16.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,16.476403436507002,0.0
"Yakima, WA",49420,2024,366,248,111,6,1,0,0,153,63,37,0,0,0,364,2,yakima,96646.0,526.0,1976.0,15.0,36.0,57.0,418.0,343.0,1364.0,269.0,15.0,544.2542888479605,2044.5750470790308
"York-Hanover, PA",49620,2024,366,240,125,1,0,0,0,101,67,44,0,3,219,144,0,york,2277.0,4.0,6.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,175.6697408871322,263.5046113306983
"Youngstown-Warren-Boardman, OH-PA",49660,2024,366,219,147,0,0,0,0,97,65,46,0,0,185,181,0,youngstown,58850.0,405.0,1620.0,11.0,25.0,53.0,316.0,333.0,1007.0,280.0,17.0,688.1903143585387,2752.7612574341547
"Yuba City, CA",49700,2024,366,195,166,5,0,0,0,115,80,49,0,0,220,146,0,yuba city,68200.0,289.0,1131.0,4.0,50.0,51.0,184.0,115.0,843.0,173.0,15.0,423.7536656891495,1658.357771260997
"Yuma, AZ",49740,2024,365,212,149,3,1,0,0,179,74,47,0,0,216,58,91,yuma,101989.0,432.0,1272.0,3.0,44.0,24.0,361.0,201.0,906.0,165.0,16.0,423.5750914314289,1247.1933247703184
