CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,city,population,violent_crime,property_crime,murder,rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,arson,violent_crime_rate,property_crime_rate
"St. Marys, PA",41260,2024,358,343,15,0,0,0,0,67,46,34,0,0,358,0,0,st. marys,19882.0,58.0,226.0,1.0,14.0,3.0,40.0,19.0,186.0,21.0,2.0,291.7211548133991,1136.7065687556583
"State College, PA",44300,2024,366,287,79,0,0,0,0,97,58,40,0,1,270,95,0,state college,57580.0,88.0,440.0,0.0,43.0,6.0,39.0,28.0,401.0,11.0,2.0,152.8308440430705,764.1542202153526
"Steamboat Springs, CO",44460,2024,365,364,1,0,0,0,0,53,25,12,0,0,0,0,365,steamboat springs,13606.0,44.0,172.0,0.0,7.0,1.0,36.0,23.0,144.0,5.0,1.0,323.3867411436131,1264.148169925033
"Stockton-Lodi, CA",44700,2024,366,178,177,11,0,0,0,140,79,51,0,0,142,215,9,stockton,319069.0,3656.0,8422.0,51.0,129.0,1073.0,2403.0,1794.0,4697.0,1931.0,162.0,1145.8336598039923,2639.5544537388464
"Summerville, GA",44900,2024,240,231,9,0,0,0,0,77,48,39,0,0,240,0,0,summerville,4426.0,13.0,67.0,0.0,0.0,1.0,12.0,13.0,50.0,4.0,1.0,293.7189335743335,1513.7821961138725
"Syracuse, NY",45060,2024,366,318,48,0,0,0,0,84,53,36,0,0,266,100,0,syracuse,145175.0,1111.0,6147.0,22.0,85.0,194.0,810.0,1047.0,3830.0,1270.0,22.0,765.2832788014465,4234.200103323576
"Tampa-St. Petersburg-Clearwater, FL",45300,2024,362,167,190,5,0,0,0,143,67,51,0,0,110,250,2,tampa,408646.0,1817.0,5988.0,36.0,171.0,241.0,1369.0,684.0,4718.0,586.0,27.0,444.63912530650003,1465.3269578070017
"Taos, NM",45340,2024,365,354,11,0,0,0,0,76,35,16,0,0,0,365,0,taos,6406.0,60.0,383.0,0.0,1.0,2.0,57.0,71.0,273.0,39.0,3.0,936.6219169528567,5978.769903215735
"Terre Haute, IN",45460,2024,366,204,161,1,0,0,0,112,64,47,0,0,137,229,0,terre haute,58536.0,322.0,2006.0,2.0,32.0,53.0,235.0,396.0,1373.0,237.0,33.0,550.0888342216756,3426.9509361760283
"Texarkana, TX-AR",45500,2024,360,189,171,0,0,0,0,97,62,49,0,0,0,360,0,texarkana,29173.0,240.0,1043.0,4.0,14.0,22.0,200.0,114.0,879.0,50.0,1.0,822.6785040962534,3575.2236657183007
"The Dalles, OR",45520,2024,364,317,47,0,0,0,0,93,52,23,0,0,0,364,0,the dalles,15712.0,58.0,402.0,1.0,4.0,15.0,38.0,45.0,325.0,32.0,10.0,369.14460285132384,2558.553971486762
"Toledo, OH",45780,2024,366,155,207,4,0,0,0,119,74,53,0,0,135,231,0,toledo,263668.0,2745.0,7204.0,32.0,260.0,283.0,2170.0,1274.0,4863.0,1067.0,133.0,1041.0819667157182,2732.223857275058
"Topeka, KS",45820,2024,366,246,119,1,0,0,0,125,61,45,0,0,188,173,5,topeka,125156.0,1072.0,4559.0,20.0,59.0,101.0,892.0,798.0,3135.0,626.0,22.0,856.5310492505354,3642.653967848126
"Torrington, CT",45860,2024,362,305,49,8,0,0,0,119,58,38,4,0,314,44,0,torrington,35612.0,29.0,370.0,0.0,5.0,9.0,15.0,23.0,327.0,20.0,1.0,81.43322475570032,1038.9756261934178
"Trenton, NJ",45940,2024,366,246,115,5,0,0,0,133,71,43,0,0,210,156,0,trenton,2629.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,38.03727653100038,228.22365918600227
"Truckee-Grass Valley, CA",46020,2024,365,313,50,2,0,0,0,132,55,36,0,0,134,231,0,truckee,17132.0,64.0,111.0,0.0,6.0,2.0,56.0,17.0,82.0,12.0,4.0,373.56992762082655,647.910343217371
"Tucson, AZ",46060,2024,366,113,241,10,2,0,0,171,87,56,0,0,217,107,42,tucson,548789.0,3231.0,18182.0,37.0,262.0,593.0,2339.0,1629.0,13723.0,2830.0,110.0,588.7508678198725,3313.1130543797344
"Tulsa, OK",46140,2024,366,169,184,12,1,0,0,179,80,51,0,0,202,160,4,tulsa,411310.0,3874.0,14920.0,39.0,435.0,406.0,2994.0,3073.0,9862.0,1985.0,54.0,941.8686635384503,3627.4342953003816
"Tupelo, MS",46180,2024,243,216,27,0,0,0,0,87,51,41,0,0,243,0,0,tupelo,37593.0,147.0,1420.0,4.0,27.0,27.0,89.0,426.0,894.0,100.0,6.0,391.03024499241883,3777.2989652328893
"Tuscaloosa, AL",46220,2024,359,318,39,2,0,0,0,125,53,37,0,0,173,186,0,tuscaloosa,113834.0,630.0,3109.0,18.0,20.0,68.0,524.0,363.0,2458.0,288.0,5.0,553.4374615668429,2731.169949224309
"Twin Falls, ID",46300,2024,347,264,76,4,3,0,0,158,64,23,0,0,0,347,0,twin falls,55932.0,233.0,630.0,3.0,51.0,5.0,174.0,54.0,530.0,46.0,3.0,416.5772724022027,1126.367732246299
"Tyler, TX",46340,2024,363,314,48,1,0,0,0,105,61,39,0,3,360,0,0,tyler,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ukiah, CA",46380,2024,366,244,122,0,0,0,0,83,57,43,0,0,99,265,2,ukiah,15915.0,88.0,218.0,0.0,9.0,23.0,56.0,30.0,145.0,43.0,12.0,552.937480364436,1369.7769399937167
"Utica-Rome, NY",46540,2024,349,300,49,0,0,0,0,68,53,27,0,0,0,349,0,utica,5090.0,16.0,128.0,0.0,4.0,2.0,10.0,8.0,115.0,5.0,0.0,314.3418467583497,2514.7347740667974
"Valdosta, GA",46660,2024,342,212,128,1,1,0,0,154,62,44,0,0,0,342,0,valdosta,54896.0,305.0,2239.0,4.0,27.0,63.0,211.0,250.0,1855.0,134.0,3.0,555.5960361410667,4078.6213931798306
"Vallejo-Fairfield, CA",46700,2024,365,343,22,0,0,0,0,80,46,36,0,2,340,22,1,vallejo,121795.0,901.0,4860.0,20.0,65.0,299.0,517.0,678.0,3223.0,959.0,31.0,739.7676423498501,3990.311589145696
"Vermillion, SD",46820,2024,366,289,75,2,0,0,0,137,57,39,0,0,187,179,0,vermillion,12110.0,22.0,141.0,0.0,6.0,0.0,16.0,6.0,119.0,16.0,0.0,181.66804293971924,1164.3270024772914
"Vernal, UT",46860,2024,366,218,141,7,0,0,0,133,77,48,0,0,337,29,0,vernal,10718.0,30.0,326.0,1.0,8.0,2.0,19.0,20.0,288.0,18.0,3.0,279.90296697144987,3041.6122410897556
"Victoria, TX",47020,2024,355,324,29,2,0,0,0,105,49,35,0,0,355,0,0,victoria,1106.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,180.83182640144665
"Vincennes, IN",47180,2024,360,314,46,0,0,0,0,90,54,38,0,0,360,0,0,vincennes,16535.0,20.0,415.0,1.0,4.0,3.0,12.0,35.0,344.0,36.0,1.0,120.95554883580284,2509.827638342909
"Vineland-Bridgeton, NJ",47220,2024,359,290,68,1,0,0,0,112,56,39,0,3,268,88,0,vineland,60848.0,266.0,1634.0,2.0,16.0,56.0,192.0,212.0,1374.0,48.0,8.0,437.1548777281094,2685.3799631869574
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2024,366,268,98,0,0,0,0,90,57,41,0,11,149,206,0,virginia beach,455155.0,420.0,7464.0,13.0,84.0,144.0,179.0,382.0,6585.0,497.0,42.0,92.27625753864069,1639.8809196867003
"Visalia-Porterville, CA",47300,2024,366,76,179,83,28,0,0,185,147,71,0,0,213,144,9,visalia,146090.0,636.0,3112.0,7.0,99.0,138.0,392.0,384.0,2219.0,509.0,30.0,435.3480731056198,2130.193716202341
"Waco, TX",47380,2024,365,126,234,5,0,0,0,133,73,53,5,0,87,273,0,waco,146270.0,623.0,3110.0,8.0,133.0,84.0,398.0,431.0,2379.0,300.0,8.0,425.9246598755726,2126.204963423805
"Walla Walla, WA",47460,2024,366,307,59,0,0,0,0,90,59,38,0,0,247,94,25,walla walla,33062.0,94.0,732.0,2.0,23.0,10.0,59.0,58.0,601.0,73.0,21.0,284.3143185530216,2214.022140221402
